paretoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
1,exact,1,0.661,0.092,0.756,0.537,0.723,0.657,0.617,0.551,0.551,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
2,exact,2,0.660,0.092,0.756,0.537,0.721,0.657,0.619,0.544,0.544,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
3,exact,3,0.659,0.092,0.756,0.537,0.720,0.657,0.607,0.548,0.548,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
4,exact,4,0.658,0.093,0.756,0.538,0.713,0.657,0.614,0.536,0.536,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
5,exact,5,0.658,0.092,0.756,0.538,0.711,0.657,0.612,0.538,0.538,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
6,exact,6,0.657,0.093,0.756,0.537,0.719,0.657,0.602,0.537,0.537,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
7,exact,7,0.657,0.093,0.756,0.537,0.722,0.657,0.603,0.531,0.531,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
8,exact,11,0.656,0.094,0.756,0.508,0.723,0.645,0.596,0.604,0.604,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
9,exact,15,0.656,0.093,0.756,0.535,0.709,0.657,0.589,0.554,0.554,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
10,exact,16,0.656,0.093,0.756,0.535,0.711,0.657,0.586,0.554,0.554,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,nonpartisan-commission,Nonpartisan commission appointments,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
11,exact,17,0.656,0.093,0.756,0.534,0.712,0.657,0.581,0.559,0.559,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
12,exact,18,0.656,0.093,0.756,0.537,0.708,0.657,0.587,0.554,0.554,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
13,exact,19,0.655,0.093,0.756,0.534,0.715,0.657,0.582,0.551,0.551,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
14,exact,20,0.655,0.094,0.756,0.508,0.721,0.645,0.597,0.597,0.597,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
15,exact,22,0.655,0.093,0.756,0.534,0.712,0.657,0.584,0.553,0.553,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
16,exact,23,0.655,0.093,0.756,0.536,0.708,0.657,0.587,0.553,0.553,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override,Judicial review with legislative supermajority override,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
17,exact,24,0.655,0.093,0.756,0.536,0.708,0.657,0.587,0.553,0.553,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
18,exact,26,0.655,0.093,0.756,0.533,0.714,0.657,0.574,0.560,0.560,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
19,exact,27,0.654,0.094,0.756,0.536,0.723,0.601,0.609,0.608,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers,strong delivery
20,exact,28,0.654,0.095,0.756,0.508,0.720,0.645,0.586,0.601,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
21,exact,29,0.654,0.094,0.756,0.536,0.721,0.601,0.611,0.600,0.600,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,democracy-vouchers,Democracy vouchers,strong delivery
22,exact,31,0.653,0.094,0.756,0.509,0.713,0.645,0.592,0.589,0.589,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
23,exact,32,0.653,0.094,0.756,0.536,0.720,0.601,0.599,0.605,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,democracy-vouchers,Democracy vouchers,strong delivery
24,exact,33,0.653,0.094,0.756,0.510,0.711,0.645,0.590,0.592,0.592,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
25,exact,34,0.653,0.095,0.756,0.509,0.719,0.645,0.580,0.590,0.590,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
26,exact,35,0.653,0.094,0.756,0.508,0.722,0.645,0.581,0.584,0.584,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
27,exact,39,0.652,0.095,0.756,0.510,0.723,0.636,0.597,0.568,0.568,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
28,exact,40,0.652,0.094,0.756,0.537,0.713,0.601,0.606,0.592,0.592,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,democracy-vouchers,Democracy vouchers,strong delivery
29,exact,42,0.651,0.094,0.756,0.537,0.711,0.601,0.604,0.595,0.595,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,democracy-vouchers,Democracy vouchers,strong delivery
30,exact,43,0.651,0.094,0.756,0.536,0.719,0.601,0.594,0.593,0.593,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,democracy-vouchers,Democracy vouchers,strong delivery
31,exact,44,0.651,0.094,0.756,0.536,0.722,0.601,0.595,0.587,0.587,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,democracy-vouchers,Democracy vouchers,strong delivery
32,exact,48,0.651,0.095,0.756,0.507,0.709,0.645,0.568,0.608,0.608,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
33,exact,49,0.651,0.095,0.756,0.510,0.721,0.636,0.599,0.560,0.560,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
34,exact,50,0.651,0.095,0.756,0.506,0.711,0.645,0.565,0.608,0.608,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,nonpartisan-commission,Nonpartisan commission appointments,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
35,exact,51,0.651,0.095,0.756,0.508,0.708,0.645,0.565,0.608,0.608,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
36,exact,52,0.651,0.095,0.756,0.505,0.715,0.645,0.560,0.605,0.605,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
37,exact,54,0.651,0.095,0.756,0.506,0.712,0.645,0.562,0.606,0.606,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
38,exact,55,0.651,0.095,0.756,0.505,0.712,0.645,0.559,0.612,0.608,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
39,exact,56,0.651,0.095,0.756,0.507,0.708,0.645,0.566,0.606,0.606,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override,Judicial review with legislative supermajority override,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
40,exact,57,0.651,0.095,0.756,0.507,0.708,0.645,0.565,0.606,0.606,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
41,exact,62,0.650,0.095,0.756,0.510,0.720,0.636,0.587,0.565,0.565,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
42,exact,63,0.650,0.095,0.756,0.504,0.714,0.645,0.553,0.613,0.608,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,supermajority-review,60 percent invalidation threshold,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
43,exact,67,0.649,0.095,0.756,0.510,0.723,0.619,0.597,0.577,0.577,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,audit-and-sanctions,Audit and sanctions,strong delivery
44,exact,70,0.649,0.094,0.756,0.534,0.709,0.601,0.582,0.611,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,democracy-vouchers,Democracy vouchers,strong delivery
45,exact,72,0.649,0.094,0.756,0.533,0.711,0.601,0.578,0.611,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,nonpartisan-commission,Nonpartisan commission appointments,democracy-vouchers,Democracy vouchers,strong delivery
46,exact,73,0.649,0.094,0.756,0.533,0.715,0.601,0.574,0.608,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,democracy-vouchers,Democracy vouchers,strong delivery
47,exact,74,0.649,0.094,0.756,0.536,0.708,0.601,0.579,0.611,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,democracy-vouchers,Democracy vouchers,strong delivery
48,exact,76,0.649,0.094,0.756,0.533,0.712,0.601,0.576,0.610,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,democracy-vouchers,Democracy vouchers,strong delivery
49,exact,77,0.649,0.094,0.756,0.535,0.708,0.601,0.579,0.610,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override,Judicial review with legislative supermajority override,democracy-vouchers,Democracy vouchers,strong delivery
50,exact,78,0.649,0.094,0.756,0.535,0.708,0.601,0.579,0.610,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,democracy-vouchers,Democracy vouchers,strong delivery
51,exact,80,0.649,0.095,0.756,0.510,0.721,0.619,0.598,0.570,0.570,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,audit-and-sanctions,Audit and sanctions,strong delivery
52,exact,81,0.649,0.094,0.756,0.533,0.712,0.601,0.573,0.616,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,democracy-vouchers,Democracy vouchers,strong delivery
53,exact,82,0.649,0.095,0.756,0.511,0.713,0.636,0.594,0.552,0.552,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
54,exact,83,0.648,0.095,0.756,0.512,0.711,0.636,0.592,0.555,0.555,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
55,exact,84,0.648,0.095,0.756,0.511,0.719,0.636,0.582,0.553,0.553,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
56,exact,86,0.648,0.094,0.756,0.535,0.723,0.588,0.615,0.554,0.554,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,bundle-with-evasion,Anti-capture bundle with evasion,strong delivery
57,exact,88,0.648,0.095,0.756,0.532,0.714,0.601,0.566,0.616,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,supermajority-review,60 percent invalidation threshold,democracy-vouchers,Democracy vouchers,strong delivery
58,exact,89,0.648,0.095,0.756,0.509,0.723,0.606,0.596,0.605,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,real-time-transparency,Real-time transparency,strong delivery
59,exact,91,0.648,0.095,0.756,0.510,0.720,0.619,0.587,0.574,0.574,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,audit-and-sanctions,Audit and sanctions,strong delivery
60,exact,95,0.647,0.095,0.756,0.509,0.721,0.606,0.598,0.598,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,real-time-transparency,Real-time transparency,strong delivery
61,exact,111,0.646,0.095,0.756,0.510,0.708,0.636,0.567,0.571,0.571,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,randomized-audit-sanctions,Randomized audit and sanctions,strong delivery
62,exact,113,0.646,0.095,0.756,0.511,0.713,0.619,0.594,0.562,0.562,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,audit-and-sanctions,Audit and sanctions,strong delivery
63,exact,114,0.646,0.096,0.756,0.509,0.720,0.606,0.586,0.602,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,real-time-transparency,Real-time transparency,strong delivery
64,exact,120,0.646,0.095,0.756,0.512,0.711,0.619,0.592,0.565,0.565,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,audit-and-sanctions,Audit and sanctions,strong delivery
65,exact,122,0.646,0.095,0.756,0.511,0.719,0.619,0.582,0.563,0.563,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,audit-and-sanctions,Audit and sanctions,strong delivery
66,exact,123,0.646,0.095,0.756,0.510,0.722,0.619,0.582,0.557,0.557,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,audit-and-sanctions,Audit and sanctions,strong delivery
67,exact,128,0.646,0.095,0.756,0.509,0.722,0.606,0.581,0.584,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,real-time-transparency,Real-time transparency,strong delivery
68,exact,129,0.646,0.095,0.756,0.510,0.713,0.606,0.593,0.590,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,real-time-transparency,Real-time transparency,strong delivery
69,exact,134,0.645,0.095,0.756,0.509,0.719,0.606,0.581,0.590,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,real-time-transparency,Real-time transparency,strong delivery
70,exact,136,0.645,0.095,0.756,0.510,0.711,0.606,0.591,0.592,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,real-time-transparency,Real-time transparency,strong delivery
71,exact,142,0.645,0.094,0.756,0.537,0.711,0.588,0.610,0.541,0.541,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,bundle-with-evasion,Anti-capture bundle with evasion,strong delivery; complexity risk; weak subsystem floor
72,exact,150,0.644,0.096,0.766,0.506,0.605,0.670,0.579,0.757,0.605,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
73,exact,155,0.644,0.092,0.644,0.526,0.758,0.656,0.629,0.670,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
74,exact,167,0.644,0.096,0.766,0.506,0.603,0.670,0.580,0.749,0.603,default-pass,Default pass unless 2/3 block,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
75,exact,169,0.644,0.092,0.644,0.526,0.757,0.656,0.630,0.662,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
76,exact,171,0.644,0.096,0.756,0.510,0.708,0.619,0.566,0.581,0.578,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,audit-and-sanctions,Audit and sanctions,strong delivery
77,exact,177,0.644,0.092,0.642,0.526,0.758,0.655,0.629,0.670,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
78,exact,186,0.643,0.092,0.642,0.526,0.757,0.655,0.630,0.663,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
79,exact,199,0.643,0.092,0.644,0.526,0.756,0.656,0.618,0.667,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
80,exact,201,0.643,0.096,0.766,0.506,0.602,0.670,0.569,0.754,0.602,default-pass,Default pass unless 2/3 block,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
81,exact,212,0.642,0.096,0.756,0.507,0.709,0.606,0.568,0.608,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,real-time-transparency,Real-time transparency,strong delivery
82,exact,215,0.642,0.096,0.756,0.507,0.711,0.606,0.565,0.608,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,nonpartisan-commission,Nonpartisan commission appointments,real-time-transparency,Real-time transparency,strong delivery
83,exact,216,0.642,0.096,0.756,0.506,0.715,0.606,0.561,0.605,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,real-time-transparency,Real-time transparency,strong delivery
84,exact,218,0.642,0.096,0.766,0.506,0.604,0.670,0.564,0.736,0.604,default-pass,Default pass unless 2/3 block,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
85,exact,219,0.642,0.096,0.756,0.509,0.708,0.606,0.566,0.608,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,real-time-transparency,Real-time transparency,strong delivery
86,exact,220,0.642,0.092,0.642,0.526,0.756,0.655,0.618,0.667,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
87,exact,221,0.642,0.092,0.644,0.527,0.757,0.656,0.614,0.649,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
88,exact,222,0.642,0.092,0.644,0.528,0.749,0.656,0.625,0.654,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
89,exact,225,0.642,0.096,0.756,0.506,0.712,0.606,0.562,0.607,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,real-time-transparency,Real-time transparency,strong delivery
90,exact,227,0.642,0.096,0.756,0.508,0.708,0.606,0.566,0.607,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override,Judicial review with legislative supermajority override,real-time-transparency,Real-time transparency,strong delivery
91,exact,228,0.642,0.096,0.756,0.508,0.708,0.606,0.566,0.607,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,real-time-transparency,Real-time transparency,strong delivery
92,exact,230,0.642,0.096,0.756,0.506,0.712,0.606,0.560,0.613,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,real-time-transparency,Real-time transparency,strong delivery
93,exact,231,0.642,0.095,0.756,0.521,0.723,0.564,0.610,0.572,0.564,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,outside-spending-disclosure-evasion,Outside-spending disclosure evasion,strong delivery
94,exact,234,0.642,0.092,0.644,0.527,0.754,0.656,0.613,0.655,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
95,exact,238,0.642,0.092,0.644,0.528,0.747,0.656,0.623,0.657,0.639,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
96,exact,239,0.642,0.096,0.766,0.507,0.601,0.670,0.563,0.742,0.601,default-pass,Default pass unless 2/3 block,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
97,exact,241,0.642,0.096,0.766,0.507,0.595,0.670,0.575,0.741,0.595,default-pass,Default pass unless 2/3 block,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
98,exact,242,0.642,0.095,0.756,0.521,0.721,0.564,0.611,0.564,0.564,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,outside-spending-disclosure-evasion,Outside-spending disclosure evasion,strong delivery
99,exact,243,0.641,0.092,0.642,0.527,0.757,0.655,0.614,0.650,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
100,exact,244,0.641,0.095,0.756,0.531,0.671,0.657,0.511,0.567,0.567,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,current-us-like,Stylized current U.S.-like supreme court,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
101,exact,245,0.641,0.092,0.642,0.528,0.749,0.655,0.625,0.655,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
102,exact,246,0.641,0.096,0.756,0.524,0.723,0.558,0.610,0.598,0.550,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,public-interest-representation-funds,Public-interest representation funds,strong delivery
103,exact,247,0.641,0.096,0.756,0.505,0.714,0.606,0.553,0.614,0.579,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,supermajority-review,60 percent invalidation threshold,real-time-transparency,Real-time transparency,strong delivery
104,exact,248,0.641,0.096,0.766,0.508,0.593,0.670,0.573,0.744,0.593,default-pass,Default pass unless 2/3 block,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
105,exact,249,0.641,0.092,0.642,0.527,0.754,0.655,0.613,0.656,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
106,exact,251,0.641,0.092,0.642,0.528,0.747,0.655,0.623,0.658,0.639,pairwise-amendment-tournament-majority,Pairwise amendment tournament + majority,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
107,exact,254,0.641,0.096,0.756,0.524,0.721,0.558,0.612,0.590,0.550,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,public-interest-representation-funds,Public-interest representation funds,strong delivery
108,exact,256,0.641,0.092,0.633,0.525,0.751,0.662,0.620,0.689,0.639,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
